General Microbiology Lab,ALS,192,299,19,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
General Microbiology Lab,ALS,192,299,30,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
General Microbiology Lab,ALS,192,299,34,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
General Microbiology Lab,ALS,192,299,58,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
General Microbiology Lab,ALS,192,299,71,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
General Microbiology Lab,ALS,192,299,91,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
General Microbiology Lab,ALS,192,299,96,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
General Microbiology Lab,ALS,192,299,97,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Biology of Microorganisms,ALS,192,303,1,202,3.153,"[25.7, 17.8, 33.2, 10.4, 9.9, 1.5, 0.5, None, None, None, None, None, 0.5, None, 0.5]"
Biology of Microorganisms,ALS,192,304,1,38,3.303,"[28.9, 13.2, 47.4, 10.5, None, None, None, None, None, None, None, None, None, None, None]"
Biology of Microorganisms,ALS,192,304,2,31,3.161,"[29.0, 19.4, 25.8, 6.5, 19.4, None, None, None, None, None, None, None, None, None, None]"
Biology of Microorganisms,ALS,192,304,3,38,3.184,"[34.2, 5.3, 42.1, 10.5, 5.3, None, 2.6, None, None, None, None, None, None, None, None]"
Biology of Microorganisms,ALS,192,304,4,39,3.269,"[38.5, 5.1, 41.0, 2.6, 12.8, None, None, None, None, None, None, None, None, None, None]"
Biology of Microorganisms Lab,ALS,192,305,1,13,3.962,"[92.3, 7.7, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Biology of Microorganisms Lab,ALS,192,305,2,16,3.844,"[87.5, 6.3, None, None, 6.3, None, None, None, None, None, None, None, None, None, None]"
Biology of Microorganisms Lab,ALS,192,305,3,14,4,"[100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Microbiome-Plants/Anmls/Humans,ALS,192,335,1,31,3.15,"[29.0, 22.6, 16.1, 12.9, 12.9, 3.2, None, None, None, None, None, None, None, None, 3.2]"
Microbiome-Plants/Anmls/Humans,ALS,192,375,1,20,4,"[95.0, None, None, None, None, None, None, 5.0, None, None, None, None, None, None, None]"
Microbiome-Plants/Anmls/Humans,ALS,192,375,3,8,4,"[100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Environmental Microbiology,ALS,192,425,1,12,3.333,"[25.0, 33.3, 33.3, None, 8.3, None, None, None, None, None, None, None, None, None, None]"
"Divrsty, Ecol&Evolutn-Microrg",ALS,192,450,1,49,3.071,"[38.8, 8.2, 28.6, 2.0, 14.3, 4.1, 4.1, None, None, None, None, None, None, None, None]"
Micro Genetics & Mol Machines,ALS,192,470,1,52,2.673,"[15.4, 13.5, 19.2, 21.2, 21.2, 5.8, 3.8, None, None, None, None, None, None, None, None]"
Soil Microbiology & Biochem,ALS,192,523,1,10,3.8,"[60.0, 40.0, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Physiol of Microorganisms,ALS,192,526,1,40,3.2,"[37.5, 10.0, 32.5, None, 17.5, 2.5, None, None, None, None, None, None, None, None, None]"
Topics in Biotechnology,ALS,192,545,1,37,4,"[100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Topics in Biotechnology,ALS,192,551,1,18,3.833,"[72.2, 22.2, 5.6, None, None, None, None, None, None, None, None, None, None, None, None]"
Topics in Biotechnology,ALS,192,551,2,16,3.719,"[62.5, 18.8, 18.8, None, None, None, None, None, None, None, None, None, None, None, None]"
