,#1,#2,#3,#4,#5,#6,#7,#8
5817,Independent Study,L&S,521,990,031,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5818,Independent Study,L&S,521,990,042,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5819,Independent Study,L&S,521,990,046,4,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5820,Independent Study,L&S,521,990,058,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5821,Independent Study,L&S,521,990,059,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5822,Second Semester Filipino,L&S,522,306,001,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5823,Second Semester Hmong,L&S,522,308,001,12,3.667,"[66.7, 16.7, 8.3, None, 8.3, None, None, None, None, None, None, None, None, None, None]"
5824,Second Semester Indonesian,L&S,522,310,001,5,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5825,Second Semester Thai,L&S,522,318,001,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5826,Second Semester Vietnamese,L&S,522,320,001,5,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5827,Second Semester Arabic,L&S,522,322,003,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5828,Second Semester Kazak,L&S,522,332,001,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5829,Second Semester Turkish,L&S,522,340,001,6,3.833,"[66.7, 33.3, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5830,Second Semester Bengali,L&S,522,350,001,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5831,Second Semester Hindi,L&S,522,354,001,12,3.792,"[75.0, 16.7, None, 8.3, None, None, None, None, None, None, None, None, None, None, None]"
5832,Second Semester Hindi,L&S,522,364,001,14,4.0,"[100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5833,Second Semester Hindi,L&S,522,364,002,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5834,Second Semester Modern Tibetan,L&S,522,370,001,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5835,Second Semester Urdu,L&S,522,372,001,4,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5836,Fourth Semester Hmong,L&S,522,408,001,7,3.929,"[85.7, 14.3, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5837,Fourth Semester Hmong,L&S,522,410,001,5,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5838,Fourth Semester Hmong,L&S,522,410,002,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5839,Fourth Semester Thai,L&S,522,418,001,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5840,Fourth Semester Vietnamese,L&S,522,420,001,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5841,Fourth Semester Kazak,L&S,522,432,001,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5842,Fourth Semester Turkish,L&S,522,440,001,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5843,Fourth Semester Hindi,L&S,522,454,001,4,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5844,Fourth Semester Persian,L&S,522,464,001,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5845,Fourth Semester Modern Tibetan,L&S,522,470,001,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5846,Fourth Semester Urdu,L&S,522,472,001,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5847,Sixth Semester Hmong,L&S,522,508,001,10,3.9,"[90.0, None, 10.0, None, None, None, None, None, None, None, None, None, None, None, None]"
