,#1,#2,#3,#4,#5,#6,#7,#8
161,Seminar-Plant Breeding,ALS,132,990,016,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
162,Seminar-Plant Breeding,ALS,132,990,017,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
163,Seminar-Plant Breeding,ALS,132,990,018,7,,"[None, None, None, None, None, None, None, 14.3, None, None, None, 85.7, None, None, None]"
164,General Microbiology,ALS,192,101,001,266,3.202,"[28.9, 26.3, 19.2, 9.4, 14.7, 0.8, 0.4, None, None, None, None, None, None, 0.4, None]"
165,General Microbiology,ALS,192,102,001,35,3.557,"[45.7, 20.0, 34.3, None, None, None, None, None, None, None, None, None, None, None, None]"
166,General Microbiology,ALS,192,102,002,38,3.447,"[31.6, 31.6, 34.2, None, 2.6, None, None, None, None, None, None, None, None, None, None]"
167,General Microbiology,ALS,192,102,003,40,3.325,"[20.0, 30.0, 47.5, None, 2.5, None, None, None, None, None, None, None, None, None, None]"
168,General Microbiology,ALS,192,102,004,41,3.451,"[31.7, 26.8, 41.5, None, None, None, None, None, None, None, None, None, None, None, None]"
169,General Microbiology Lab,ALS,192,299,005,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
170,General Microbiology Lab,ALS,192,299,007,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
171,General Microbiology Lab,ALS,192,299,008,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
172,General Microbiology Lab,ALS,192,299,014,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
173,General Microbiology Lab,ALS,192,299,030,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
174,General Microbiology Lab,ALS,192,299,034,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
175,General Microbiology Lab,ALS,192,299,043,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
176,General Microbiology Lab,ALS,192,299,061,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
177,General Microbiology Lab,ALS,192,299,071,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
178,General Microbiology Lab,ALS,192,299,096,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
179,General Microbiology Lab,ALS,192,299,098,7,4.0,"[100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
180,Biology of Microorganisms,ALS,192,303,001,281,2.957,"[23.8, 13.9, 29.5, 8.2, 18.5, 4.6, 1.1, None, None, None, None, None, 0.4, None, None]"
181,Biology of Microorganisms,ALS,192,304,001,40,3.338,"[35.0, 15.0, 45.0, 2.5, None, None, 2.5, None, None, None, None, None, None, None, None]"
182,Biology of Microorganisms,ALS,192,304,002,39,3.346,"[35.9, 15.4, 35.9, 7.7, 5.1, None, None, None, None, None, None, None, None, None, None]"
183,Biology of Microorganisms,ALS,192,304,003,43,3.291,"[32.6, 9.3, 44.2, 11.6, 2.3, None, None, None, None, None, None, None, None, None, None]"
184,Biology of Microorganisms,ALS,192,304,004,38,3.338,"[34.2, 15.8, 34.2, 7.9, 5.3, None, None, None, None, None, None, None, 2.6, None, None]"
